segment_id,points,mean_PRICE_ln,id,mean_chislennost_naseleniya_092025,mean_srednmes_zarplata,mean_temp_prirosta_percent,mean_house_point_count,mean_area_km2,mean_density_hp_per_km2
RKZ71-S347,385,17.757709539121795,KZ71,320298.0,506373.66666666674,4.891999927163125,83901.0,1819.4872380352292,46.11244214639305
RKZ71-S450,385,17.065866376025003,KZ71,320298.0,506373.66666666674,4.891999927163125,83901.0,1819.4872380352292,46.11244214639305
RKZ79-S978,385,17.40599541284849,KZ79,256825.79999999996,312770.3999999999,2.0420000791549677,15196.0,2131.460701241428,7.129383146097594
RKZ75-S174,385,17.591791229731786,KZ75,265156.2222222222,449734.5555555557,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ79-S966,383,17.16708117899754,KZ79,256825.80000000002,312770.3999999999,2.0420000791549677,15196.0,2131.4607012414285,7.129383146097594
RKZ59-S1263,383,16.806082775229132,KZ59,36903.57142857142,302337.0,-1.8849999955190073,5105.0,280504.49523498485,0.01819935183471277
RKZ39-S540,383,17.345028206115312,KZ39,41135.54999999999,326000.04999999993,-1.562000011838972,35451.0,506678.75796546234,0.06996740921674183
RKZ75-S86,383,17.313504551905734,KZ75,265156.2222222222,449734.55555555556,1.9988888944519896,99477.0,1326.1170511370506,75.01374023862044
RKZ71-S413,383,16.806160973655036,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.487238035229,46.112442146393036
RKZ15-S762,382,16.534606464222787,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374825,0.039769505773121015
RKZ59-S1269,381,16.792954110282505,KZ59,36903.57142857143,302337.0,-1.8849999955190075,5105.0,280504.4952349849,0.018199351834712774
RKZ75-S76,380,17.303567208977295,KZ75,265156.2222222222,449734.5555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ23-S1110,380,16.73986596123366,KZ23,89241.625,479367.625,-0.6275000050663948,10814.0,257825.2801993182,0.04194313292955589
RKZ71-S305,378,16.998249407654036,KZ71,320298.0,506373.66666666674,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
RKZ15-S1334,378,17.13590243469029,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374825,0.039769505773121015
RKZ10-S1147,377,16.89746097920597,KZ10,49833.33333333333,349858.1666666666,-1.7957504387894268,8900.0,426717.4764275517,0.02085689124924098
RKZ71-S266,377,17.410188019786656,KZ71,320298.0,506373.66666666674,4.891999927163125,83901.0,1819.4872380352292,46.11244214639305
RKZ79-S965,376,16.658051694741005,KZ79,256825.79999999996,312770.39999999997,2.0420000791549677,15196.0,2131.4607012414285,7.129383146097593
RKZ39-S541,376,17.07365009953657,KZ39,41135.549999999996,326000.04999999993,-1.562000011838972,35451.0,506678.75796546234,0.06996740921674184
RKZ35-S618,376,16.28252320415479,KZ35,87089.38461538461,411027.1538461539,-1.3630769092303054,30946.0,551401.1615688812,0.056122478799193104
RKZ75-S101,376,18.17772889096451,KZ75,265156.2222222222,449734.5555555557,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ75-S231,376,17.410052076803794,KZ75,265156.2222222222,449734.5555555557,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ63-S1392,375,16.605936601056197,KZ63,55431.923076923085,352771.4615384616,-1.860538461538461,11466.0,223878.88109457787,0.051215192535986345
RKZ71-S320,375,17.021386998499956,KZ71,320298.0,506373.6666666667,4.891999927163124,83901.0,1819.487238035229,46.11244214639304
RKZ33-S1256,375,16.9876991099055,KZ33,68963.90000000002,336557.29999999993,-1.3709999918937683,5129.0,240135.44620165738,0.02135877931029326
RKZ75-S179,374,18.235466923423214,KZ75,265156.2222222222,449734.55555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862044
RKZ39-S1357,374,16.961105485653196,KZ39,41135.549999999996,326000.05,-1.562000011838972,35451.0,506678.75796546234,0.06996740921674183
RKZ47-S830,374,16.642084523163884,KZ47,116436.85714285712,473486.2857142857,0.27428571241242544,18699.0,322714.5706815746,0.057942843920891565
RKZ75-S122,373,17.579090454459102,KZ75,265156.2222222222,449734.5555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862044
RKZ35-S679,373,16.48616742742442,KZ35,87089.3846153846,411027.1538461539,-1.3630769092303054,30946.0,551401.1615688812,0.056122478799193104
RKZ35-S667,372,16.824205589586096,KZ35,87089.38461538461,411027.1538461539,-1.3630769092303054,30946.0,551401.1615688812,0.056122478799193104
RKZ10-S1153,372,17.137063245034845,KZ10,49833.33333333332,349858.16666666657,-1.7957504387894272,8900.0,426717.4764275517,0.02085689124924098
RKZ31-S1189,372,16.489982160779785,KZ31,110702.63636363638,338634.81818181823,-0.956363633275032,8853.0,281483.4929858096,0.031451222613776184
RKZ15-S1325,372,16.606464980566063,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374825,0.039769505773121015
RKZ35-S604,372,15.972146077222858,KZ35,87089.38461538461,411027.1538461539,-1.3630769092303054,30946.0,551401.1615688812,0.056122478799193104
RKZ62-S1284,371,16.609071492093243,KZ62,43949.0,490622.0,-1.040000016987324,3398.0,418898.6216032993,0.008111747866332052
RKZ63-S1094,371,16.85353115551283,KZ63,55431.923076923085,352771.46153846156,-1.860538461538461,11466.0,223878.8810945779,0.051215192535986345
RKZ71-S268,371,17.266921748953436,KZ71,320298.0,506373.6666666668,4.891999927163125,83901.0,1819.4872380352292,46.11244214639306
RKZ71-S325,371,16.97289472059895,KZ71,320298.0,506373.6666666668,4.891999927163125,83901.0,1819.4872380352292,46.11244214639306
RKZ19-S1223,370,16.787069914824677,KZ19,152946.89999999997,339552.89999999997,-0.2839999999999999,8655.0,205128.2882101221,0.0421931079107641
RKZ11-S904,370,16.783913444320344,KZ11,39407.75,331957.70000000007,-1.1775000073015691,15670.0,381477.3525627605,0.04107714362262692
RKZ23-S1108,370,16.980355713934397,KZ23,89241.625,479367.625,-0.6275000050663948,10814.0,257825.2801993182,0.04194313292955589
RKZ31-S1184,369,16.4474608530548,KZ31,110702.63636363638,338634.81818181823,-0.956363633275032,8853.0,281483.4929858096,0.031451222613776184
RKZ15-S714,368,16.657237402504187,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374825,0.039769505773121015
